Call for Local Partners, http://www.jobsnepal.com/job/call-for-local-partners/97006
Field Researcher / Translator   (RA – 01, RA - 02), http://www.jobsnepal.com/job/field-researcher-translator-ra-01-ra-02/97005
Sr. Accountant, http://www.jobsnepal.com/job/sr-accountant/97004
Consultant:Promoting Sexual and Reproductive Health Rights, Focusing on Ending Child, Early and Forc, http://www.jobsnepal.com/job/consultant-promoting-sexual-and-reproductive-health-rights-focusing-on-ending-child-early-and-forc/97003
Ruby on Rails Developer, http://www.jobsnepal.com/job/ruby-on-rails-developer/97001
Wordpress Developer (Sr/Mid), http://www.jobsnepal.com/job/wordpress-developer-sr-mid/97000
Java Developer (mid), http://www.jobsnepal.com/job/java-developer-mid/96999
Call for Proposal: Development of Accounting Software- OxFund MSP, http://www.jobsnepal.com/job/call-for-proposal-development-of-accounting-software-oxfund-msp/96998
Gender Based Violence Program Manager, http://www.jobsnepal.com/job/gender-based-violence-program-manager/96997
Factory Production Manager, http://www.jobsnepal.com/job/factory-production-manager/97015
Mid to Senior level ASP.NET Developer, http://www.jobsnepal.com/job/mid-to-senior-level-asp-net-developer/97002
Architect/3D Expert, http://www.jobsnepal.com/job/architect-3d-expert/96996
Finance Manager/ Capacity Building Officer, http://www.jobsnepal.com/job/finance-manager-capacity-building-officer/96995
REQUEST FOR QUOTATION (RFQ), http://www.jobsnepal.com/job/request-for-quotation-rfq/96994
Sustainability and Curriculum Development Consultant, http://www.jobsnepal.com/job/sustainability-and-curriculum-development-consultant/96981
Research Consultant, http://www.jobsnepal.com/job/research-consultant/96966
Production Manager, http://www.jobsnepal.com/job/production-manager/96965
Monitoring & Documentation Officer, http://www.jobsnepal.com/job/monitoring-documentation-officer/96964
Expression of Interest, http://www.jobsnepal.com/job/expression-of-interest/96963
CONTENT WRITER, http://www.jobsnepal.com/job/content-writer/96962
Medical Officer / Staff Nurse ( SBA Trained ), http://www.jobsnepal.com/job/medical-officer-staff-nurse-sba-trained/96960
कार�?यक�?रम संयोजक/ सशक�?तिकरण कार�?यकर�?, http://www.jobsnepal.com/job/women-association-for-marginalized-women-wam-surkhet/96959
PROJECT LEAD, http://www.jobsnepal.com/job/project-lead/96958
Research Manager, http://www.jobsnepal.com/job/research-manager/96957
Grants and Sub-awards Manager, http://www.jobsnepal.com/job/grants-and-sub-awards-manager/96956
IT Officer, http://www.jobsnepal.com/job/it-officer/96955
PHP Developer, http://www.jobsnepal.com/job/php-developer/96954
Civil Society Director / Gender Equality and Social Inclusion (GESI) Advisor/ Governance Advisor/ Gr, http://www.jobsnepal.com/job/civil-society-director-gender-equality-and-social-inclusion-gesi-advisor-governance-advisor-gr/96953
Gender Based Violence Program Officer, http://www.jobsnepal.com/job/gender-based-violence-program-officer/96951
Android Programmer, http://www.jobsnepal.com/job/android-programmer/96950
Primary Grade Teacher, http://www.jobsnepal.com/job/primary-grade-teacher/97017
Primary Grade Teacher, http://www.jobsnepal.com/job/primary-grade-teacher/97016
Kindergarten Grade Intermediate Level Teacher, http://www.jobsnepal.com/job/kindergarten-grade-intermediate-level-teacher/97014
Hardware Technician, http://www.jobsnepal.com/job/hardware-technician/97013
Public Relation Officer, http://www.jobsnepal.com/job/public-relation-officer/97012
Administrative Staff, http://www.jobsnepal.com/job/administrative-staff/97011
Grade Teachers, http://www.jobsnepal.com/job/grade-teachers/97010
Social Studies Teacher, http://www.jobsnepal.com/job/social-studies-teacher/97009
English Language Teacher, http://www.jobsnepal.com/job/english-language-teacher/97008
Health/Physical/ Environment (HPE) Teacher, http://www.jobsnepal.com/job/health-physical-environment-hpe-teacher/97007
